ID,Title,Body,Comments Disabled,Created At,Edited At,HTML URL,Label Names,Locale,Outdated,Outdated Locales,Permission Group ID,Position,Promoted,Section ID,Source Locale,Updated At,URL,User Segment ID,Vote Count,Vote Sum
23124044190355,Dynamic content not found error,"<h2 id=""h_01HFJ41999VFK22YXPJXMW5159"">Introduction</h2>
<p>The dynamic content error occurs when the theme html is searching for a piece of dynamic content that has not been defined in your admin center.</p>
<p><img src=""https://mandrake.torango.io/hc/article_attachments/23124050857747""></p>
<h2 id=""h_01HFJ43C5DC55DTQF94NB0BXQW"">Troubleshooting steps</h2>
<p> </p>
<p><strong>Step 1: Download the csv Template</strong></p>
<ol>
<li>
<a href=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQQNicF5LueZ2XO1VF_fL801QmHeEGd7gpqqRYCk-etmK1jqGjD6OFM4MAyN-LZ4JE92cl4JvSEmkCG/pub?output=csv"">Access the csv template provided here</a>.</li>
</ol>
<hr style=""height: 0px;"">
<p><strong>Step 2: Navigate to the Admin Center</strong></p>
<ol>
<li>Log in to your Zendesk account.</li>
<li>Navigate to the Admin Center.</li>
<li>In the Admin Center, find ""Dynamic Content"" under the ""Workspaces"" section,</li>
</ol>
<p class=""wysiwyg-text-align-center""><img src=""https://mandrake.torango.io/hc/article_attachments/23124088847635"" width=""689"" height=""441""></p>
<hr style=""height: 0px;"">
<p><strong>Step 3: Compare your Dynamic Content to the csv Title values</strong></p>
<p>Each title in the csv should match a title in your dynamic content. For example, the title of the first row is ""dark"". There should be a dynamic content titled ""dark"" as well. If any values are missing from your admin center, add them and set their values, as well as any translations you wish to support.</p>",true,2023-11-18T21:11:10Z,2023-11-18T21:11:29Z,https://mandrake.torango.io/hc/en-us/articles/23124044190355-Dynamic-content-not-found-error,,en-us,false,,20825188493203,0,false,23117805250835,en-us,2023-11-18T21:11:29Z,https://d3v-genie.zendesk.com/api/v2/help_center/en-us/articles/23124044190355.json,,0,0
20825175106579,Welcome to your Help Center!,"<p>You're looking at your new <a href=""https://www.zendesk.com/self-service"" target=""_blank"">Help Center</a>. We populated it with placeholder content to help you get started. Feel free to edit or delete this content.</p>

<p>The Help Center is designed to provide a complete self-service support option for your customers. The Help Center contains: a knowledge base and, on Guide Professional and Enterprise, a Customer Portal for support requests. You can also add a community to your Help Center if you have Zendesk Gather.</p>

<p>Your customers can search for knowledge base articles to learn a task or search the community, if available, to ask fellow users questions. If your customers can't find an answer, they can submit a support request.</p>

<p>For more information, see <a href=""https://support.zendesk.com/hc/en-us/articles/203664386"" target=""_blank"">Help Center guide for end users</a>.</p><p>Each user has a Help Center profile (Guide Professional and Enterprise), so your Help Center users can get to know one another better. Profiles contain relevant information about the user, along with their activities and contributions.</p>",false,2023-09-18T21:38:12Z,2023-10-20T03:07:34Z,https://mandrake.torango.io/hc/en-us/articles/20825175106579-Welcome-to-your-Help-Center,,en-us,false,,20825188493203,0,true,20825161828499,en-us,2023-11-19T19:29:39Z,https://d3v-genie.zendesk.com/api/v2/help_center/en-us/articles/20825175106579.json,,0,0
20825161900691,How do I publish my content in other languages?,"<p>If you have <a href=""https://support.zendesk.com/hc/en-us/articles/224857687"" target=""_blank"">configured your Help Center to support multiple languages</a>, you can publish content in your supported languages. </p>

<p>Here's the workflow for localizing your Help Center content into other languages:</p>

<ol>
<li>Get your content translated in the other languages.</li>
<li>Configure the Help Center to support all your languages.</li>
<li>Add the translated content to the Help Center.</li>
</ol>


<p>For complete instructions, see <a href=""https://support.zendesk.com/hc/en-us/articles/203664336#topic_inn_3qy_43"" target=""_blank"">Localizing the Help Center</a>.</p>",false,2023-09-18T21:38:13Z,2023-10-20T03:06:45Z,https://mandrake.torango.io/hc/en-us/articles/20825161900691-How-do-I-publish-my-content-in-other-languages,,en-us,false,,20825188493203,0,true,20825175129235,en-us,2023-12-20T02:16:54Z,https://d3v-genie.zendesk.com/api/v2/help_center/en-us/articles/20825161900691.json,,0,0
20825175176851,How can agents leverage knowledge to help customers?,"<p>You can use our <a href=""https://support.zendesk.com/hc/en-us/articles/115012706488"" target=""_blank"">Knowledge Capture app</a> to leverage your team’s collective knowledge.</p>
<p>Using the app, agents can:
</p><ul>
  <li>Search the Help Center without leaving the ticket</li>
  <li>Insert links to relevant Help Center articles in ticket comments</li>
  <li>Add inline feedback to existing articles that need updates</li>
  <li>Create new articles while answering tickets using a pre-defined template</li>
</ul>


<p>Agents never have to leave the ticket interface to share, flag, or create knowledge, so they can help the customer, while also improving your self-service offerings for other customers.</p>

<p>To get started, see our <a href=""https://support.zendesk.com/hc/en-us/articles/360001975088"" target=""_blank"">Knowledge Capture documentation</a>.</p>

<p>And before your agents can start creating new knowledge directly from tickets, you’ll need to <a href=""https://support.zendesk.com/hc/en-us/articles/115002374987"" target=""_blank"">create a template</a> for them to use. To help you along, we’ve provided some template ideas below. You can copy and paste any sample template below into a new article, add the <strong>KCTemplate</strong> label to the article, and you’ll be all set.</p>

<h4>Q&amp;A template:</h4>

<blockquote>

<p>
</p>
<h3>[Title]</h3>


<p>
</p>
<h3>Question</h3>
write the question here.


<p>
</p>
<h3>Answer</h3>
write the answer here.


</blockquote>

<h4>Solution template:</h4>

<blockquote>

<p>
</p>
<h3>[Title]</h3>


<p>
</p>
<h3>Symptoms</h3>
write the symptoms here.


<p>
</p>
<h3>Resolution</h3>
write the resolution here.


<p>
</p>
<h3>Cause</h3>
write the cause here.


</blockquote>

<h4>How-to template:</h4>

<blockquote>

<p>
</p>
<h3>[Title]</h3>


<p>
</p>
<h3>Objective</h3>
write the purpose or task here.


<p>
</p>
<h3>Procedure</h3>
write the steps here.


</blockquote>
",false,2023-09-18T21:38:13Z,2023-10-09T02:10:19Z,https://mandrake.torango.io/hc/en-us/articles/20825175176851-How-can-agents-leverage-knowledge-to-help-customers,,en-us,false,,20825188493203,0,true,20825175129235,en-us,2023-12-23T22:45:52Z,https://d3v-genie.zendesk.com/api/v2/help_center/en-us/articles/20825175176851.json,,0,0
20825175147283,How do I customize my Help Center?,"<p>You can modify the look and feel of your Help Center by changing colors and fonts. See <a href=""https://support.zendesk.com/hc/en-us/articles/206177737"" target=""_blank"">Branding your Help Center</a> to learn how.</p>

<p>You can also change the design of your Help Center. If you're comfortable working with page code, you can dig in to the site's HTML, CSS, and Javascript to customize your theme. To get started, see <a href=""https://support.zendesk.com/hc/en-us/articles/203664326"" target=""_blank"">Customizing the Help Center</a>.</p>",false,2023-09-18T21:38:13Z,2023-09-18T21:38:13Z,https://mandrake.torango.io/hc/en-us/articles/20825175147283-How-do-I-customize-my-Help-Center,,en-us,false,,20825188493203,0,false,20825175129235,en-us,2023-09-18T21:38:13Z,https://d3v-genie.zendesk.com/api/v2/help_center/en-us/articles/20825175147283.json,,0,0
20825175132051,What are these sections and articles doing here?,"<p>This FAQ is a section in the General category of your help center knowledge base. We created this category and a few common sections to help you get started with your Help Center.</p>

<p>The knowledge base in the Help Center consists of three main page types: category pages, section pages, and articles. Here's the structure:</p>

<p><img src=""//static.zdassets.com/hc/assets/sample-articles/article0_image.png"" alt=""Comments are part of the articles. The articles pages are part of Sections page. The Sections pages are part of the Category pages.""></p>

<p>You can create your own categories, sections, and articles and modify or completely delete ours. See the <a href=""https://support.zendesk.com/hc/en-us/articles/218222877"" target=""_blank"">Organizing knowledge base content</a> and <a href=""https://support.zendesk.com/hc/en-us/articles/203664366"" target=""_blank"">Creating articles in the Help Center</a> to learn how.</p>",false,2023-09-18T21:38:13Z,2023-10-20T03:07:20Z,https://mandrake.torango.io/hc/en-us/articles/20825175132051-What-are-these-sections-and-articles-doing-here,,en-us,false,,20825188493203,0,true,20825175129235,en-us,2023-11-09T03:38:04Z,https://d3v-genie.zendesk.com/api/v2/help_center/en-us/articles/20825175132051.json,,0,0
23118220290323,Help with theme installation,"<h2 id=""h_01HFHRZQAFHEDAW7EJ408C89JW"">Introduction</h2>
<p>While installing our Help Center theme is straightforward, we offer a complimentary service to handle the setup for you. This service is designed to save you time and ensure a seamless integration of our theme with your Zendesk Help Center.</p>
<h2 id=""h_01HFHS0KY2EQ2V8M9FKT0VQSYT"">Benefits of Our Installation Service</h2>
<h3 id=""h_01HFHS0KY2SRYJM64B3SH21ZN9"">1. Effortless Setup</h3>
<p>Our experienced team specializes in Zendesk themes, guaranteeing a quick and hassle-free installation process.</p>
<h3 id=""h_01HFHS0KY21GNMESX59WHZ2VB9"">2. Customization Support</h3>
<p>Tailor the theme to your brand guidelines with the guidance of our experts, making your Zendesk Help Center uniquely yours.</p>
<h3 id=""h_01HFHS0KY2HD926VEQ5DBW0S9T"">3. 90-Day Post-Installation Support</h3>
<p>Enjoy peace of mind with ongoing support. Our team is here to address any questions or adjustments you may have after the installation.</p>
<p> </p>
<div class=""home-blocks-item"">
<strong>Note:</strong> In order to install your theme, our team will need to be granted a temporary admin account in your help center.</div>",false,2023-11-18T17:58:22Z,2023-11-18T18:00:13Z,https://mandrake.torango.io/hc/en-us/articles/23118220290323-Help-with-theme-installation,,en-us,false,,20825188493203,0,false,21610337226515,en-us,2023-11-18T18:01:28Z,https://d3v-genie.zendesk.com/api/v2/help_center/en-us/articles/23118220290323.json,,0,0
22134881657107,How to tap on a tablet,"<p class=""wysiwyg-text-align-center""><iframe src=""//player.vimeo.com/video/872319675"" width=""560"" height=""315"" frameborder=""0"" allowfullscreen=""""></iframe></p>",true,2023-10-24T03:39:06Z,2023-10-24T03:39:11Z,https://mandrake.torango.io/hc/en-us/articles/22134881657107-How-to-tap-on-a-tablet,,en-us,false,,20825188493203,0,false,22134928463123,en-us,2023-11-18T20:56:36Z,https://d3v-genie.zendesk.com/api/v2/help_center/en-us/articles/22134881657107.json,,0,0
23124044190355,Dynamic content not found error,"<h2 id=""h_01HFJ41999VFK22YXPJXMW5159"">Introduction</h2>
<p>The dynamic content error occurs when the theme html is searching for a piece of dynamic content that has not been defined in your admin center.</p>
<p><img src=""https://mandrake.torango.io/hc/article_attachments/23124050857747""></p>
<h2 id=""h_01HFJ43C5DC55DTQF94NB0BXQW"">Troubleshooting steps</h2>
<p> </p>
<p><strong>Step 1: Download the csv Template</strong></p>
<ol>
<li>
<a href=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQQNicF5LueZ2XO1VF_fL801QmHeEGd7gpqqRYCk-etmK1jqGjD6OFM4MAyN-LZ4JE92cl4JvSEmkCG/pub?output=csv"">Access the csv template provided here</a>.</li>
</ol>
<hr style=""height: 0px;"">
<p><strong>Step 2: Navigate to the Admin Center</strong></p>
<ol>
<li>Log in to your Zendesk account.</li>
<li>Navigate to the Admin Center.</li>
<li>In the Admin Center, find ""Dynamic Content"" under the ""Workspaces"" section,</li>
</ol>
<p class=""wysiwyg-text-align-center""><img src=""https://mandrake.torango.io/hc/article_attachments/23124088847635"" width=""689"" height=""441""></p>
<hr style=""height: 0px;"">
<p><strong>Step 3: Compare your Dynamic Content to the csv Title values</strong></p>
<p>Each title in the csv should match a title in your dynamic content. For example, the title of the first row is ""dark"". There should be a dynamic content titled ""dark"" as well. If any values are missing from your admin center, add them and set their values, as well as any translations you wish to support.</p>",true,2023-11-18T21:11:10Z,2023-11-18T21:11:29Z,https://mandrake.torango.io/hc/en-us/articles/23124044190355-Dynamic-content-not-found-error,,en-us,false,,20825188493203,0,false,23117805250835,en-us,2023-11-18T21:11:29Z,https://d3v-genie.zendesk.com/api/v2/help_center/en-us/articles/23124044190355.json,,0,0
20825175106579,Welcome to your Help Center!,"<p>You're looking at your new <a href=""https://www.zendesk.com/self-service"" target=""_blank"">Help Center</a>. We populated it with placeholder content to help you get started. Feel free to edit or delete this content.</p>

<p>The Help Center is designed to provide a complete self-service support option for your customers. The Help Center contains: a knowledge base and, on Guide Professional and Enterprise, a Customer Portal for support requests. You can also add a community to your Help Center if you have Zendesk Gather.</p>

<p>Your customers can search for knowledge base articles to learn a task or search the community, if available, to ask fellow users questions. If your customers can't find an answer, they can submit a support request.</p>

<p>For more information, see <a href=""https://support.zendesk.com/hc/en-us/articles/203664386"" target=""_blank"">Help Center guide for end users</a>.</p><p>Each user has a Help Center profile (Guide Professional and Enterprise), so your Help Center users can get to know one another better. Profiles contain relevant information about the user, along with their activities and contributions.</p>",false,2023-09-18T21:38:12Z,2023-10-20T03:07:34Z,https://mandrake.torango.io/hc/en-us/articles/20825175106579-Welcome-to-your-Help-Center,,en-us,false,,20825188493203,0,true,20825161828499,en-us,2023-11-19T19:29:39Z,https://d3v-genie.zendesk.com/api/v2/help_center/en-us/articles/20825175106579.json,,0,0
20825161900691,How do I publish my content in other languages?,"<p>If you have <a href=""https://support.zendesk.com/hc/en-us/articles/224857687"" target=""_blank"">configured your Help Center to support multiple languages</a>, you can publish content in your supported languages. </p>

<p>Here's the workflow for localizing your Help Center content into other languages:</p>

<ol>
<li>Get your content translated in the other languages.</li>
<li>Configure the Help Center to support all your languages.</li>
<li>Add the translated content to the Help Center.</li>
</ol>


<p>For complete instructions, see <a href=""https://support.zendesk.com/hc/en-us/articles/203664336#topic_inn_3qy_43"" target=""_blank"">Localizing the Help Center</a>.</p>",false,2023-09-18T21:38:13Z,2023-10-20T03:06:45Z,https://mandrake.torango.io/hc/en-us/articles/20825161900691-How-do-I-publish-my-content-in-other-languages,,en-us,false,,20825188493203,0,true,20825175129235,en-us,2023-12-20T02:16:54Z,https://d3v-genie.zendesk.com/api/v2/help_center/en-us/articles/20825161900691.json,,0,0
20825175176851,How can agents leverage knowledge to help customers?,"<p>You can use our <a href=""https://support.zendesk.com/hc/en-us/articles/115012706488"" target=""_blank"">Knowledge Capture app</a> to leverage your team’s collective knowledge.</p>
<p>Using the app, agents can:
</p><ul>
  <li>Search the Help Center without leaving the ticket</li>
  <li>Insert links to relevant Help Center articles in ticket comments</li>
  <li>Add inline feedback to existing articles that need updates</li>
  <li>Create new articles while answering tickets using a pre-defined template</li>
</ul>


<p>Agents never have to leave the ticket interface to share, flag, or create knowledge, so they can help the customer, while also improving your self-service offerings for other customers.</p>

<p>To get started, see our <a href=""https://support.zendesk.com/hc/en-us/articles/360001975088"" target=""_blank"">Knowledge Capture documentation</a>.</p>

<p>And before your agents can start creating new knowledge directly from tickets, you’ll need to <a href=""https://support.zendesk.com/hc/en-us/articles/115002374987"" target=""_blank"">create a template</a> for them to use. To help you along, we’ve provided some template ideas below. You can copy and paste any sample template below into a new article, add the <strong>KCTemplate</strong> label to the article, and you’ll be all set.</p>

<h4>Q&amp;A template:</h4>

<blockquote>

<p>
</p>
<h3>[Title]</h3>


<p>
</p>
<h3>Question</h3>
write the question here.


<p>
</p>
<h3>Answer</h3>
write the answer here.


</blockquote>

<h4>Solution template:</h4>

<blockquote>

<p>
</p>
<h3>[Title]</h3>


<p>
</p>
<h3>Symptoms</h3>
write the symptoms here.


<p>
</p>
<h3>Resolution</h3>
write the resolution here.


<p>
</p>
<h3>Cause</h3>
write the cause here.


</blockquote>

<h4>How-to template:</h4>

<blockquote>

<p>
</p>
<h3>[Title]</h3>


<p>
</p>
<h3>Objective</h3>
write the purpose or task here.


<p>
</p>
<h3>Procedure</h3>
write the steps here.


</blockquote>
",false,2023-09-18T21:38:13Z,2023-10-09T02:10:19Z,https://mandrake.torango.io/hc/en-us/articles/20825175176851-How-can-agents-leverage-knowledge-to-help-customers,,en-us,false,,20825188493203,0,true,20825175129235,en-us,2023-12-23T22:45:52Z,https://d3v-genie.zendesk.com/api/v2/help_center/en-us/articles/20825175176851.json,,0,0
23950342440339,New,Test,false,2023-12-10T17:08:20Z,2023-12-10T17:08:20Z,https://mandrake.torango.io/hc/en-us/articles/23950342440339-New,,en-us,false,,20825188493203,0,false,21609823860883,en-us,2024-02-27T01:22:47Z,https://d3v-genie.zendesk.com/api/v2/help_center/en-us/articles/23950342440339.json,,0,0
